"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DESCRIPTION";"DIGIKEY";"ELEMENT14";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OTHER";"PACKAGE";"PROD_ID";"SF_SKU";"SUPPLIER";"URL";"VALUE";
"1";"";"BATTERY-AA";"BATTERY-AA";"BT1";"Battery - Single Cell";"";"";"";"";"";"";"";"";"";"";"BATT-08316";"PRT-07949";"";"";"";
"1";"";"USBMINIBLARGE";"USB-MINIB_LARGER";"CN3";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0(1%)";"R-EU_R0603";"R0603";"R15, R17, R35, R36";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100k(1%)";"R-EU_R0603";"R0603";"R8, R9, R10, R19, R20, R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n/10V(10%)";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"100nF/10V(10%)";"C-EUC0603";"C0603";"C2, C5, C6, C7, C8, C9, C10, C11, C12, C13, C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100nF/25V(10%)";"C-EUC0603";"C0603";"C21, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"10k(1%)";"R-EU_R0603";"R0603";"R4, R6, R14, R16, R18, R23, R24, R32, R37";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF/10V(10%)";"C-EUC0603";"C0603";"C20, C25";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF/25V(10%)";"C-EUC0603";"C0603";"C16, C17, C19, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120k(1%)";"R-EU_R0603";"R0603";"R5, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1M(1%)";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1k(1%)";"R-EU_R0603";"R0603";"R13, R25, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1uF/10V(10%)";"C-EUC0603";"C0603";"C1, C3, C4, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF/25V(10%)";"C-EUC0603";"C0603";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2k(1%)";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"270(1%)";"R-EU_R0603";"R0603";"R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330(1%)";"R-EU_R0603";"R0603";"R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"34(1%)";"R-EU_R0603";"R0603";"R31";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"390(1%)";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4148";"DIODE-BAS16J";"SOD-323";"D2";"Diode";"";"";"";"";"";"";"";"";"";"";"DIO-09646";"";"";"";"250mA/100V";
"1";"470(1%)";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"750(1%)";"R-EU_R0603";"R0603";"R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"U8";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BUZZER-8540S";"BUZZER-8540S";"BUZZER-8540S";"B1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CP2102";"CP2102";"MLP28";"U10";"Single-Chip USB to UART Bridge";"";"";"";"";"FARNELL";"CP2102-GM";"9282130";"30K5635";"";"";"";"";"";"";"";
"1";"DMN2058U";"MOSFET-NREFLOW";"SOT23-R";"Q5";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DMP2045U";"MOSFET-P";"SOT23-R";"Q2";"P-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"DNP";"R-EU_R0603";"R0603";"R26, R33, R34";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP-WROOM-03";"ESP-WROOM-03";"ESP-WROOM-03";"U7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GREEN PWR";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LT1966CMS8";"LT1966CMS8";"MSOP8";"U4";"Precision Micropower,";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX6106EUR";"MAX6106EUR";"SOT23-3";"U6";"VOLTAGE REFERENCE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MBR120";"MBR0520LT";"SOD123";"D1";"SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP4921-E/SN";"MCP4921-E/SN";"SOIC8-N_MC";"U5";"12 Bit DAC";"";"12 Bit DAC";"";"";"";"MCP4921-E/SN";"1332113";"08J8744";"";"SOIC-8";"";"";"Microchip";"";"";
"2";"MCP6022-I/SN";"MCP6022-I/SN";"SOIC08";"U2, U3";"IC OPAMP 2.5V DUAL R-R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP73831T-2ACI/OT";"MCP73831";"SOT23-5";"U9";"MCP73831 Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controllers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"N-CHANNEL-MOSFET-BSS138";"N-CHANNEL-MOSFET-BSS138";"SOT23-3";"Q1";"N-Channel MOSFET Mode Field Effect Transistor";"http://www.fairchildsemi.com/ds/BS/BSS138.pdf";"";"BSS138TR-ND";"2323154";"";"";"";"";"";"";"";"";"";"http://au.element14.com/fairchild-semiconductor/bss138/mosfet-n-ch-50v-220ma-sot-23/dp/2323154";"";
"1";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"SKTDLDE010-T-SWITCH";"SKTDLDE010-T-SWITCH";"T-SWITCH-ALPS-2";"SW1, SW2, SW3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SML-LX0404";"SML-LX0404";"LED_RGB";"LED3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
